"","Plot","Herbivory","Coral_Id","Coral","percent_bleached","percent_dead","Date","Nutrients","catcat"
"237","D4","1x1","P16","Pver",0,0,"Nov18","Nutrient","Nov18_P16"
"238","D4","1x1","P5","Pver",0,0,"Nov18","Nutrient","Nov18_P5"
"239","D4","1x1","P7","Pver",0,5,"Nov18","Nutrient","Nov18_P7"
"240","D4","2x2","A1","Acr",0,0,"Nov18","Nutrient","Nov18_A1"
"241","D4","2x2","P11","Pver",0,0,"Nov18","Nutrient","Nov18_P11"
"242","D4","2x2","P5","Pver",0,0,"Nov18","Nutrient","Nov18_P5"
"243","D4","2x2","P6","Pver",0,0,"Nov18","Nutrient","Nov18_P6"
"244","D4","3x3","A3","Acr",0,0,"Nov18","Nutrient","Nov18_A3"
"245","D4","3x3","A4","Acr",0,0,"Nov18","Nutrient","Nov18_A4"
"246","D4","3x3","A5","Acr",0,0,"Nov18","Nutrient","Nov18_A5"
"247","D4","3x3","P20","Pver",0,0,"Nov18","Nutrient","Nov18_P20"
"248","D4","3x3","P30","Pver",0,0,"Nov18","Nutrient","Nov18_P30"
"249","D4","3x3","P8","Pver",0,0,"Nov18","Nutrient","Nov18_P8"
"250","D4","open","A1","Acr",0,0,"Nov18","Nutrient","Nov18_A1"
"251","D4","open","P23","Pver",0,0,"Nov18","Nutrient","Nov18_P23"
"252","D4","open","P5","Pver",0,0,"Nov18","Nutrient","Nov18_P5"
"253","D4","open","P6","Pver",0,0,"Nov18","Nutrient","Nov18_P6"
"254","A1","1x1","A5","Acr",0,0,"Mar19","Ambient","Mar19_A5"
"255","A1","1x1","P11","Pver",0,0,"Mar19","Ambient","Mar19_P11"
"256","A1","1x1","P16","Pver",0,0,"Mar19","Ambient","Mar19_P16"
"257","A1","1x1","P9","Pver",0,0,"Mar19","Ambient","Mar19_P9"
"258","A1","2x2","P13","Pver",0,0,"Mar19","Ambient","Mar19_P13"
"259","A1","2x2","P8","Pver",0,0,"Mar19","Ambient","Mar19_P8"
"260","A1","3x3","A3","Acr",20,0,"Mar19","Ambient","Mar19_A3"
"261","A1","3x3","A4","Acr",5,0,"Mar19","Ambient","Mar19_A4"
"262","A1","3x3","P12","Pver",0,0,"Mar19","Ambient","Mar19_P12"
"263","A1","3x3","P8","Pver",0,0,"Mar19","Ambient","Mar19_P8"
"264","A1","3x3","P9","Pver",0,0,"Mar19","Ambient","Mar19_P9"
"265","A1","open","A1","Acr",95,2,"Mar19","Ambient","Mar19_A1"
"266","A1","open","A2","Acr",0,0,"Mar19","Ambient","Mar19_A2"
"267","A1","open","A3","Acr",10,0,"Mar19","Ambient","Mar19_A3"
"268","A1","open","P12","Pver",0,0,"Mar19","Ambient","Mar19_P12"
